=== Figure 8.1 ===
Three-Choice:
(41, 62.08)
(46, 64.82)
(51, 66.79)
(56, 68.78)
(61, 70.81)
(66, 72.01)
(71, 74.03)
(76, 75.79)
(81, 76.22)
(86, 77.13)
(91, 77.35)
(96, 79.54)
(101, 79.38)
(106, 81.02)
(111, 84.35)
(116, 82.17)
(121, 84.67)
(126, 81.66)
(131, 84.17)
(136, 85.74)
(141, 86.02)
(146, 84.14)
(151, 85.72)
(156, 87.15)
(161, 89.18)
(166, 89.14)
(171, 85.59)
(176, 87.02)
(181, 88.34)
(186, 89.97)
(191, 90.87)
(196, 92.38)
(201, 86.33)
(206, 86.59)
(211, 89.41)
(216, 88.38)
(221, 91.02)
=== Figure 8.3 ===
Three-Choice:
(1, 18.6325)
(2, 23.2266)
(3, 26.0205)
(4, 30.2197)
(5, 32.0018)
(6, 35.9593)
(7, 37.8054)
(8, 40.5207)
(9, 42.6933)
(10, 44.8273)
(11, 46.4443)
(12, 49.773)
(13, 50.8942)
(14, 53.3752)
(15, 56.466)
(16, 59.3468)
(17, 61.7905)
(18, 63.1709)
(19, 65.7191)
(20, 67.5913)
(21, 70.0269)
(22, 71.8374)
(23, 75.8527)
(24, 77.3394)
(25, 79.4821)
(26, 80.9432)
(27, 81.4602)
(28, 85.5763)
(29, 87.0494)
(30, 88.4442)
(31, 91.9798)
(32, 94.834)
(33, 96.5949)
(34, 98.8774)
(35, 101.384)
(36, 102.419)
(37, 105.444)
(38, 108.362)
(39, 110.19)
(40, 112.6)
(41, 113.689)
(42, 117.558)
(43, 119.94)
(44, 122.039)
(45, 122.54)
(46, 126.406)
(47, 128.689)
(48, 131.404)
(49, 134.11)
(50, 136.155)
Two-Choice:
(1, 17.9852)
(2, 20.5426)
(3, 22.7992)
(4, 24.5861)
(5, 26.68)
(6, 28.5306)
(7, 29.5595)
(8, 31.2248)
(9, 32.2014)
(10, 33.9004)
(11, 35.8127)
(12, 36.3155)
(13, 37.7098)
(14, 38.9495)
(15, 39.7245)
(16, 42.0631)
(17, 42.3191)
(18, 43.3623)
(19, 44.8559)
(20, 46.517)
(21, 46.9138)
(22, 48.3683)
(23, 48.9367)
(24, 51.1236)
(25, 52.7104)
(26, 52.9233)
(27, 54.1655)
(28, 54.7784)
(29, 56.7282)
(30, 58.0522)
(31, 58.6911)
(32, 59.0333)
(33, 60.1703)
(34, 60.938)
(35, 61.9552)
(36, 62.6388)
(37, 64.5739)
(38, 65.0767)
(39, 66.448)
(40, 67.345)
(41, 69.6219)
(42, 68.7284)
(43, 68.9875)
(44, 70.2328)
(45, 72.8217)
(46, 72.0714)
(47, 73.9863)
(48, 74.6509)
(49, 75.2205)
(50, 76.9167)
(1+beta) with beta=0.7:
(1, 20.5133)
(2, 21.3508)
(3, 22.4314)
(4, 24.1629)
(5, 24.8232)
(6, 26.1723)
(7, 27.5131)
(8, 28.6737)
(9, 29.5988)
(10, 31.5313)
(11, 31.6804)
(12, 33.0155)
(13, 33.833)
(14, 34.5631)
(15, 35.734)
(16, 36.368)
(17, 38.5604)
(18, 39.4258)
(19, 38.6824)
(20, 40.4846)
(21, 41.5235)
(22, 42.2839)
(23, 44.1565)
(24, 43.7716)
(25, 45.5913)
(26, 45.6643)
(27, 46.7567)
(28, 46.7467)
(29, 48.2726)
(30, 48.2124)
(31, 48.8456)
(32, 50.613)
(33, 50.4677)
(34, 51.5108)
(35, 53.0256)
(36, 54.0282)
(37, 53.5605)
(38, 54.7633)
(39, 54.7739)
(40, 55.4474)
(41, 57.7004)
(42, 57.8273)
(43, 58.1149)
(44, 58.71)
(45, 59.1628)
(46, 60.6024)
(47, 61.3883)
(48, 62.1046)
(49, 62.2576)
(50, 63.1463)
(1+beta) with beta=0.5:
(1, 25.7374)
(2, 26.0538)
(3, 26.1903)
(4, 26.8197)
(5, 26.8453)
(6, 27.4393)
(7, 28.067)
(8, 29.1902)
(9, 29.2118)
(10, 29.8572)
(11, 30.5814)
(12, 31.4591)
(13, 32.4931)
(14, 33.5732)
(15, 34.1186)
(16, 34.3386)
(17, 34.8909)
(18, 35.0532)
(19, 36.8786)
(20, 37.3879)
(21, 37.4708)
(22, 37.8628)
(23, 40.2654)
(24, 41.3434)
(25, 41.0663)
(26, 41.7678)
(27, 41.7439)
(28, 43.3021)
(29, 43.5879)
(30, 44.1629)
(31, 44.665)
(32, 45.0558)
(33, 46.5789)
(34, 46.6355)
(35, 47.0593)
(36, 47.994)
(37, 48.6831)
(38, 49.3215)
(39, 49.1027)
(40, 49.643)
(41, 50.8675)
(42, 51.79)
(43, 52.0194)
(44, 51.3549)
(45, 52.6928)
(46, 53.1104)
(47, 54.909)
(48, 55.4106)
(49, 55.1246)
(50, 54.9844)
=== Figure 8.4 ===
(0, 41.13)
(1, 41.13)
(2, 41.27)
(3, 41.27)
(4, 41.39)
(5, 41.39)
(6, 41.39)
(7, 41.41)
(8, 41.43)
(9, 41.44)
(10, 41.45)
(11, 41.45)
(12, 41.5)
(13, 41.56)
(14, 41.56)
(15, 41.56)
(16, 41.56)
(17, 41.65)
(18, 41.72)
(19, 41.76)
(20, 41.79)
(21, 41.8)
(22, 41.81)
(23, 41.83)
(24, 41.84)
(25, 41.84)
(26, 41.88)
(27, 41.92)
(28, 41.92)
(29, 41.92)
(30, 41.92)
(31, 41.92)
(32, 41.94)
(33, 41.94)
(34, 41.94)
(35, 41.94)
(36, 41.94)
(37, 42.02)
(38, 42.07)
(39, 42.13)
(0, 17.76)
(1, 33.49)
(2, 33.71)
(3, 34.89)
(4, 35.1)
(5, 35.59)
(6, 35.68)
(7, 35.99)
(8, 36.08)
(9, 36.39)
(10, 36.73)
(11, 36.95)
(12, 37.14)
(13, 37.22)
(14, 37.26)
(15, 37.43)
(16, 37.58)
(17, 37.74)
(18, 38.05)
(19, 38.12)
(20, 38.23)
(21, 38.31)
(22, 38.32)
(23, 38.41)
(24, 38.47)
(25, 38.5)
(26, 38.6)
(27, 38.75)
(28, 38.75)
(29, 38.8)
(30, 38.81)
(31, 38.88)
(32, 38.94)
(33, 38.94)
(34, 38.94)
(35, 39.04)
(36, 39.04)
(37, 39.19)
(38, 39.32)
(39, 39.39)
